Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Status
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/04_1e16657f-a489-45ce-bc11-7adff867904d.jpg?v=1695708832,4,,,,,,,,,,,,,,,,,,,,,,,,
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/07_22010b1e-5e95-4058-a2a9-62b45c96035c.jpg?v=1695708832,5,,,,,,,,,,,,,,,,,,,,,,,,
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/05_c47d5221-a159-44db-9532-0f83576cdd0c.jpg?v=1695708832,6,,,,,,,,,,,,,,,,,,,,,,,,
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/08_be0266f6-d727-496f-8793-6fda98013809.jpg?v=1695708833,7,,,,,,,,,,,,,,,,,,,,,,,,
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/06_23393f13-d4f8-4bcb-92c2-4931e9946d5b.jpg?v=1695708833,8,,,,,,,,,,,,,,,,,,,,,,,,
5882_silicone_cooking_spatula,"5882 Silicone Spatula for Baking, 1 Pc Rubber Spatula Pancake Spatula Heat Resistant Kitchen Utensils for Cooking Non-Sticky Big Baking Spatula Set Food Grade, BPA Free (24 Cm)","<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}
--></style>
<strong>5882 Silicone Spatula for Baking, 1 Pc Rubber Spatula Pancake Spatula Heat Resistant Kitchen Utensils for Cooking Non-Sticky Big Baking Spatula Set Food Grade, BPA Free (24 Cm)<br></strong><span data-sheets-value='{""1"":2,""2"":""5882_silicone_cooking_spatula""}' data-sheets-userformat='{""2"":1023,""3"":{""1"":1},""4"":{""1"":2,""2"":16777215},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":1,""11"":4,""12"":0}' data-mce-fragment=""1""><br><strong>Description:-</strong><br><br></span>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Made from good quality silicone material, non-stick, and reusable.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Use in any pan on the stovetop, in the oven, microwave or freezer.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">They will make your kitchen life more convenient and easier.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">It is an ideal use for spreading oil and butter on the cake, sandwich, and dip fry with less oil use.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Food Grade Material, Heat Resistant] - With its food grade silicone material and high heat resistance, this Big spatula set can keep your food safe and healthy.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">[Detachable Design, Easy to Clean] - Designed with detachable handle, smooth flexible thin edges, this pancake spatula set is easy to clean and dishwasher safe.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">[Lightweight and Easy to Store] - Portable and lightweight, this baking Kitchen Utensils is also easy to store with its hanging hole on the handle.</span></li>
</ul>
<span data-sheets-value='{""1"":2,""2"":""5882_silicone_cooking_spatula""}' data-sheets-userformat='{""2"":1023,""3"":{""1"":1},""4"":{""1"":2,""2"":16777215},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":1,""11"":4,""12"":0}' data-mce-fragment=""1""><br><strong>Dimension:-<br><br></strong>Volu. Weight (Gm) :- 68<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Product Weight (Gm) :- 38<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Ship Weight (Gm) :- 68<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Length (Cm) :- 24<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Breadth (Cm) :- 6<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Height (Cm) :- 2<br data-mce-fragment=""1""><strong><br></strong></span>",your brand,,Kitchen Accessories,"Kitchen & Home Appliances, plastic packing",TRUE,Title,Default Title,,,,,5882_silicone_cooking_spatula,68,shopify,0,deny,manual,42,199,TRUE,TRUE,5882_silicone_cooking_spatula,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/03_a9c6fda8-a9ce-4841-a8cb-f3508d0b32da.jpg?v=1695711550,1,,FALSE,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5882_silicone_cooking_spatula,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/641eca07-c7f8-47c5-9636-ea630833aa97.jpg?v=1695711550,2,,,,,,,,,,,,,,,,,,,,,,,,
5882_silicone_cooking_spatula,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/02_1d0694e1-b2f1-4d61-a2e2-a7835925db77.jpg?v=1695711550,3,,,,,,,,,,,,,,,,,,,,,,,,
5882_silicone_cooking_spatula,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/05_6a5f4b72-7d9e-419d-9d49-11e94690f8c3.jpg?v=1695711550,4,,,,,,,,,,,,,,,,,,,,,,,,
5882_silicone_cooking_spatula,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/04_e4e17a6f-f55d-4c40-823c-a0641284342c.jpg?v=1695711550,5,,,,,,,,,,,,,,,,,,,,,,,,
5882_silicone_cooking_spatula,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/53d3278a-e592-4f8e-ac1e-b978451d72ba.jpg?v=1695711550,6,,,,,,,,,,,,,,,,,,,,,,,,
